,Individual ID,Correctly solved problems,Mean answer time,How many answer times were more than one std faster than mean,Most likely,2nd most likely,3rd most likely,4th most likely,5th most likely,6th most likely,7th most likely,8th most likely,9th most likely,10th most likely
3-prem,PEXVVU,15,16120.0625,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,supermodel,10,10,1,x - 10', 9)","('Graph,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 9)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 9)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 9)","('Graph,fff,supermodel,10,10,1,x - 10', 9)"
4-prem,PEXVVU,45,52032.75,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 29)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 29)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 26)","('Graph,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 26)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 26)"
3-prem,ACIHNJ,4,21066.857142857141,1,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,integrate,10,2,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,1,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,2,0,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 4)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 4)"
4-prem,,,,,,,,,,,,,,
3-prem,VHHVGU,8,17937125,4,"('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 8)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 8)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,VHHVGU,21,6616.479166666667,1,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,0,x - 10', 28)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTree,fff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)","('BinarySearchTree,fff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/2.)) for n in timesteps])', 27)","('Graph,ff,supermodel,10,10,0,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeTrivial,fff,integrate,10,10,10,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTree,ff,supermodel,10,10,0,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,1,(lambda x: 2 if x > 2 else 3)(x)', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,sum([exp(1)**(-((x - n)/3.)) for n in timesteps])', 27)"
3-prem,KGSKUR,16,23463.0625,1,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,KGSKUR,45,40556.166666666664,0,"('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 29)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 29)","('BinarySearchTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeLimitedDepth,ff,integrate,10,3,10,x - 10', 26)","('BinarySearchTreeLimitedDepth,ff,supermodel,10,3,1,x - 10', 26)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 24)","('Graph,ff,integrate,10,10,10,x - 10', 24)"
3-prem,KTXJOY,14,20803.9375,0,"('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,supermodel,10,10,1,x - 10', 8)","('Graph,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeRandomTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,2,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTreeRandomTree,ff,integrate,10,10,10,x - 10', 8)","('BinarySearchTreeTrivial,fff,supermodel,10,10,0,x - 10', 8)","('BinarySearchTree,fff,supermodel,10,10,1,x - 10', 8)"
4-prem,KTXJOY,37,29191.0,0,"('BinarySearchTree,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTreeTrivial,ff,integrate,10,10,10,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTreeTrivial,ff,supermodel,10,10,1,x - 10', 27)","('BinarySearchTree,ff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeTrivial,ff,supermodel,10,10,0,x - 10', 26)","('BinarySearchTreeLimitedDepth,fff,supermodel,10,3,1,x - 10', 25)","('BinarySearchTreeLimitedDepth,fff,integrate,10,3,10,x - 10', 25)","('BinarySearchTreeTrivial,fff,supermodel,10,10,1,x - 10', 24)","('Graph,ff,integrate,10,10,10,x - 10', 24)"
